FID	IID	SLNP_WenJ15
YCX369	YCX369	NA
YCX370	YCX370	NA
YCX371	YCX371	NA
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	NA
YCX376	YCX376	NA
YCX377	YCX377	NA
YCX378	YCX378	NA
YCX379	YCX379	NA
YCX380	YCX380	NA
YCX381	YCX381	NA
YCX382	YCX382	NA
YCX383	YCX383	NA
YCX384	YCX384	NA
YCX385	YCX385	NA
YCX386	YCX386	NA
YCX387	YCX387	NA
YCX388	YCX388	NA
YCX389	YCX389	NA
YCX390	YCX390	NA
YCX391	YCX391	NA
YCX392	YCX392	NA
YCX393	YCX393	NA
YD12	YD12	153.0
