FID	IID	TNP_BLUP
yangzhou_199_97	yangzhou_199_97	7.77884178526199
yangzhou_199_98	yangzhou_199_98	7.71724445989565
yangzhou_199_99	yangzhou_199_99	7.56325114647983
yangzhou_226_100	yangzhou_226_100	8.14842573745997
yangzhou_226_101	yangzhou_226_101	8.70280166575694
yangzhou_226_10	yangzhou_226_10	7.74804312257882
yangzhou_226_102	yangzhou_226_102	8.45641236429162
yangzhou_226_103	yangzhou_226_103	7.65564713452932
yangzhou_226_104	yangzhou_226_104	8.67200300307378
yangzhou_226_105	yangzhou_226_105	7.25526451964818
yangzhou_226_106	yangzhou_226_106	7.37845917038084
yangzhou_226_107	yangzhou_226_107	7.5016538211135
yangzhou_226_108	yangzhou_226_108	7.00887521818286
yangzhou_226_109	yangzhou_226_109	7.37845917038084
yangzhou_226_110	yangzhou_226_110	6.97807655549969
yangzhou_226_111	yangzhou_226_111	6.54689527793538
yangzhou_226_11	yangzhou_226_11	7.62484847184616
yangzhou_226_112	yangzhou_226_112	7.00887521818286
yangzhou_226_113	yangzhou_226_113	7.22446585696501
yangzhou_226_114	yangzhou_226_114	6.85488190476703
yangzhou_226_115	yangzhou_226_115	6.05411667500474
yangzhou_226_116	yangzhou_226_116	7.59404980916299
yangzhou_226_117	yangzhou_226_117	7.5016538211135
yangzhou_226_118	yangzhou_226_118	7.25526451964818
yangzhou_226_119	yangzhou_226_119	7.74804312257882
yangzhou_226_1	yangzhou_226_1	7.62484847184616
yangzhou_226_120	yangzhou_226_120	7.34766050769767
yangzhou_226_121	yangzhou_226_121	7.59404980916299
yangzhou_226_12	yangzhou_226_12	7.62484847184616
yangzhou_226_122	yangzhou_226_122	6.7008885913512
yangzhou_226_123	yangzhou_226_123	7.11057415834357
yangzhou_226_124	yangzhou_226_124	8.39481503892529
yangzhou_226_125	yangzhou_226_125	7.25526451964818
yangzhou_226_126	yangzhou_226_126	7.03967388086602
yangzhou_226_127	yangzhou_226_127	6.57769394061854
yangzhou_226_128	yangzhou_226_128	6.7008885913512
yangzhou_226_129	yangzhou_226_129	6.39290196451955
yangzhou_226_130	yangzhou_226_130	6.82408324208386
yangzhou_226_131	yangzhou_226_131	6.91647923013336
yangzhou_226_13	yangzhou_226_13	7.65564713452932
yangzhou_226_132	yangzhou_226_132	6.76248591671753
yangzhou_226_133	yangzhou_226_133	7.31686184501451
yangzhou_226_134	yangzhou_226_134	6.85488190476703
yangzhou_226_135	yangzhou_226_135	7.00887521818286
yangzhou_226_136	yangzhou_226_136	6.02331801232157
yangzhou_226_137	yangzhou_226_137	7.19366719428185
yangzhou_226_138	yangzhou_226_138	6.91647923013336
yangzhou_226_139	yangzhou_226_139	6.63929126598487
yangzhou_226_140	yangzhou_226_140	6.36210330183639
yangzhou_226_141	yangzhou_226_141	6.51609661525221
yangzhou_226_14	yangzhou_226_14	7.84043911062832
yangzhou_226_142	yangzhou_226_142	6.7008885913512
yangzhou_226_143	yangzhou_226_143	6.45449928988588
yangzhou_226_144	yangzhou_226_144	6.94727789281653
yangzhou_226_145	yangzhou_226_145	7.07047254354919
yangzhou_226_146	yangzhou_226_146	6.85488190476703
yangzhou_226_147	yangzhou_226_147	6.82408324208386
yangzhou_226_148	yangzhou_226_148	7.34766050769767
