FID	IID	PL_BLUP
yangzhou_226_194	yangzhou_226_194	16.2
yangzhou_226_195	yangzhou_226_195	20.15
yangzhou_226_196	yangzhou_226_196	21.0
yangzhou_226_197	yangzhou_226_197	21.05
yangzhou_226_198	yangzhou_226_198	21.15
yangzhou_226_199	yangzhou_226_199	19.4
yangzhou_226_200	yangzhou_226_200	17.5
yangzhou_226_201	yangzhou_226_201	21.25
yangzhou_226_20	yangzhou_226_20	23.15
yangzhou_226_202	yangzhou_226_202	22.95
yangzhou_226_203	yangzhou_226_203	21.700000000000003
yangzhou_226_204	yangzhou_226_204	21.4
yangzhou_226_205	yangzhou_226_205	20.55
yangzhou_226_206	yangzhou_226_206	20.85
yangzhou_226_207	yangzhou_226_207	23.6
yangzhou_226_208	yangzhou_226_208	21.35
yangzhou_226_209	yangzhou_226_209	19.5
yangzhou_226_210	yangzhou_226_210	24.0
yangzhou_226_211	yangzhou_226_211	23.55
yangzhou_226_21	yangzhou_226_21	17.1
yangzhou_226_212	yangzhou_226_212	23.8
yangzhou_226_213	yangzhou_226_213	22.55
yangzhou_226_214	yangzhou_226_214	22.35
yangzhou_226_215	yangzhou_226_215	22.8
yangzhou_226_216	yangzhou_226_216	18.700000000000003
yangzhou_226_217	yangzhou_226_217	26.5
yangzhou_226_218	yangzhou_226_218	23.4
yangzhou_226_219	yangzhou_226_219	20.65
yangzhou_226_2	yangzhou_226_2	16.95
yangzhou_226_220	yangzhou_226_220	20.6
yangzhou_226_221	yangzhou_226_221	23.35
yangzhou_226_22	yangzhou_226_22	17.8
yangzhou_226_222	yangzhou_226_222	21.5
yangzhou_226_223	yangzhou_226_223	22.0
yangzhou_226_224	yangzhou_226_224	21.8
yangzhou_226_225	yangzhou_226_225	19.5
yangzhou_226_226	yangzhou_226_226	17.8
yangzhou_226_23	yangzhou_226_23	17.549999999999997
yangzhou_226_24	yangzhou_226_24	20.3
yangzhou_226_25	yangzhou_226_25	24.7
yangzhou_226_26	yangzhou_226_26	21.200000000000003
yangzhou_226_27	yangzhou_226_27	17.6
yangzhou_226_28	yangzhou_226_28	20.55
yangzhou_226_29	yangzhou_226_29	19.35
yangzhou_226_30	yangzhou_226_30	16.25
yangzhou_226_31	yangzhou_226_31	18.95
yangzhou_226_3	yangzhou_226_3	17.25
yangzhou_226_32	yangzhou_226_32	16.4
yangzhou_226_33	yangzhou_226_33	16.5
yangzhou_226_34	yangzhou_226_34	19.95
yangzhou_226_35	yangzhou_226_35	16.4
yangzhou_226_36	yangzhou_226_36	18.6
yangzhou_226_37	yangzhou_226_37	20.85
yangzhou_226_38	yangzhou_226_38	20.65
yangzhou_226_39	yangzhou_226_39	40.3
yangzhou_226_40	yangzhou_226_40	22.0
yangzhou_226_41	yangzhou_226_41	18.25
yangzhou_226_4	yangzhou_226_4	16.049999999999997
yangzhou_226_42	yangzhou_226_42	17.8
yangzhou_226_43	yangzhou_226_43	19.8
yangzhou_226_44	yangzhou_226_44	19.05
yangzhou_226_45	yangzhou_226_45	18.8
yangzhou_226_46	yangzhou_226_46	20.95
yangzhou_226_47	yangzhou_226_47	20.450000000000003
yangzhou_226_48	yangzhou_226_48	20.25
yangzhou_226_49	yangzhou_226_49	18.0
yangzhou_226_50	yangzhou_226_50	19.05
yangzhou_226_51	yangzhou_226_51	19.85
yangzhou_226_5	yangzhou_226_5	19.35
yangzhou_226_53	yangzhou_226_53	20.45
yangzhou_226_54	yangzhou_226_54	19.450000000000003
yangzhou_226_55	yangzhou_226_55	19.8
yangzhou_226_56	yangzhou_226_56	20.65
yangzhou_226_57	yangzhou_226_57	20.700000000000003
yangzhou_226_58	yangzhou_226_58	19.8
yangzhou_226_59	yangzhou_226_59	21.2
yangzhou_226_60	yangzhou_226_60	23.200000000000003
yangzhou_226_61	yangzhou_226_61	18.6
yangzhou_226_6	yangzhou_226_6	21.55
yangzhou_226_62	yangzhou_226_62	20.05
yangzhou_226_63	yangzhou_226_63	20.3
yangzhou_226_64	yangzhou_226_64	20.6
yangzhou_226_65	yangzhou_226_65	21.8
yangzhou_226_66	yangzhou_226_66	19.0
yangzhou_226_67	yangzhou_226_67	20.25
yangzhou_226_68	yangzhou_226_68	21.8
yangzhou_226_69	yangzhou_226_69	21.0
yangzhou_226_70	yangzhou_226_70	19.9
yangzhou_226_71	yangzhou_226_71	22.15
yangzhou_226_7	yangzhou_226_7	19.700000000000003
yangzhou_226_72	yangzhou_226_72	20.200000000000003
yangzhou_226_73	yangzhou_226_73	22.75
yangzhou_226_74	yangzhou_226_74	22.1
yangzhou_226_75	yangzhou_226_75	21.05
yangzhou_226_76	yangzhou_226_76	21.75
yangzhou_226_77	yangzhou_226_77	21.4
yangzhou_226_78	yangzhou_226_78	20.1
yangzhou_226_79	yangzhou_226_79	22.75
yangzhou_226_80	yangzhou_226_80	23.1
yangzhou_226_81	yangzhou_226_81	22.4
yangzhou_226_8	yangzhou_226_8	19.7
yangzhou_226_82	yangzhou_226_82	21.05
yangzhou_226_83	yangzhou_226_83	25.55
yangzhou_226_84	yangzhou_226_84	17.95
yangzhou_226_85	yangzhou_226_85	25.1
yangzhou_226_86	yangzhou_226_86	18.25
yangzhou_226_87	yangzhou_226_87	19.1
yangzhou_226_88	yangzhou_226_88	22.0
yangzhou_226_89	yangzhou_226_89	22.8
yangzhou_226_90	yangzhou_226_90	24.0
yangzhou_226_91	yangzhou_226_91	22.9
yangzhou_226_9	yangzhou_226_9	17.0
yangzhou_226_92	yangzhou_226_92	22.200000000000003
yangzhou_226_93	yangzhou_226_93	22.85
