FID	IID	FLL_BeiJ16
YCX375	YCX375	38.1
YCX376	YCX376	37.0
YCX377	YCX377	37.2
YCX378	YCX378	32.6
YCX379	YCX379	30.6
YCX380	YCX380	33.2
YCX381	YCX381	NA
YCX382	YCX382	33.9
YCX383	YCX383	42.6
YCX384	YCX384	44.1
YCX385	YCX385	42.1
YCX386	YCX386	35.4
YCX387	YCX387	30.8
YCX388	YCX388	36.6
YCX389	YCX389	40.4
YCX390	YCX390	38.7
YCX391	YCX391	37.8
YCX392	YCX392	29.8
YCX393	YCX393	NA
YD12	YD12	NA
