FID	IID	FGP_WenJ15
yangzhou_226_167	yangzhou_226_167	146.7
yangzhou_226_168	yangzhou_226_168	142.6
yangzhou_226_169	yangzhou_226_169	109.4
yangzhou_226_170	yangzhou_226_170	141.5
yangzhou_226_171	yangzhou_226_171	192.7
yangzhou_226_17	yangzhou_226_17	115.0
yangzhou_226_172	yangzhou_226_172	164.1
yangzhou_226_173	yangzhou_226_173	107.7
yangzhou_226_174	yangzhou_226_174	109.1
yangzhou_226_175	yangzhou_226_175	172.1
yangzhou_226_176	yangzhou_226_176	237.5
yangzhou_226_177	yangzhou_226_177	185.9
yangzhou_226_178	yangzhou_226_178	156.1
yangzhou_226_179	yangzhou_226_179	169.7
yangzhou_226_180	yangzhou_226_180	129.6
yangzhou_226_18	yangzhou_226_18	117.1
yangzhou_226_182	yangzhou_226_182	124.7
yangzhou_226_183	yangzhou_226_183	156.8
yangzhou_226_184	yangzhou_226_184	152.4
yangzhou_226_185	yangzhou_226_185	196.5
yangzhou_226_186	yangzhou_226_186	174.1
yangzhou_226_187	yangzhou_226_187	165.9
yangzhou_226_188	yangzhou_226_188	191.7
yangzhou_226_189	yangzhou_226_189	140.0
yangzhou_226_190	yangzhou_226_190	145.1
yangzhou_226_191	yangzhou_226_191	111.9
yangzhou_226_19	yangzhou_226_19	103.9
yangzhou_226_192	yangzhou_226_192	129.3
yangzhou_226_193	yangzhou_226_193	106.1
yangzhou_226_194	yangzhou_226_194	96.2
yangzhou_226_195	yangzhou_226_195	105.6
yangzhou_226_196	yangzhou_226_196	322.7
yangzhou_226_197	yangzhou_226_197	286.2
yangzhou_226_198	yangzhou_226_198	198.7
yangzhou_226_199	yangzhou_226_199	145.5
yangzhou_226_200	yangzhou_226_200	71.7
yangzhou_226_201	yangzhou_226_201	61.6
yangzhou_226_20	yangzhou_226_20	207.1
yangzhou_226_202	yangzhou_226_202	124.2
yangzhou_226_203	yangzhou_226_203	174.9
yangzhou_226_204	yangzhou_226_204	85.3
yangzhou_226_205	yangzhou_226_205	111.8
yangzhou_226_206	yangzhou_226_206	113.7
yangzhou_226_207	yangzhou_226_207	108.3
yangzhou_226_208	yangzhou_226_208	137.5
yangzhou_226_209	yangzhou_226_209	97.3
yangzhou_226_210	yangzhou_226_210	74.9
yangzhou_226_211	yangzhou_226_211	60.1
