FID	IID	BGNP_YangZ15
yangzhou_226_33	yangzhou_226_33	108.7
yangzhou_226_34	yangzhou_226_34	16.3
yangzhou_226_35	yangzhou_226_35	163.7
yangzhou_226_36	yangzhou_226_36	599.7
yangzhou_226_37	yangzhou_226_37	0.0
yangzhou_226_38	yangzhou_226_38	0.0
yangzhou_226_39	yangzhou_226_39	0.0
yangzhou_226_40	yangzhou_226_40	0.0
yangzhou_226_41	yangzhou_226_41	0.0
yangzhou_226_4	yangzhou_226_4	156.3
yangzhou_226_42	yangzhou_226_42	0.0
yangzhou_226_43	yangzhou_226_43	0.0
yangzhou_226_44	yangzhou_226_44	0.0
yangzhou_226_45	yangzhou_226_45	0.0
yangzhou_226_46	yangzhou_226_46	0.0
yangzhou_226_47	yangzhou_226_47	0.0
yangzhou_226_48	yangzhou_226_48	0.0
yangzhou_226_49	yangzhou_226_49	0.0
yangzhou_226_50	yangzhou_226_50	0.0
yangzhou_226_51	yangzhou_226_51	0.0
yangzhou_226_5	yangzhou_226_5	322.7
yangzhou_226_53	yangzhou_226_53	0.0
yangzhou_226_54	yangzhou_226_54	157.3
yangzhou_226_55	yangzhou_226_55	180.3
yangzhou_226_56	yangzhou_226_56	130.3
yangzhou_226_57	yangzhou_226_57	198.7
yangzhou_226_58	yangzhou_226_58	140.0
yangzhou_226_59	yangzhou_226_59	356.3
yangzhou_226_60	yangzhou_226_60	161.3
yangzhou_226_61	yangzhou_226_61	207.7
yangzhou_226_6	yangzhou_226_6	137.3
yangzhou_226_62	yangzhou_226_62	131.3
yangzhou_226_63	yangzhou_226_63	163.7
yangzhou_226_64	yangzhou_226_64	118.0
yangzhou_226_65	yangzhou_226_65	53.3
yangzhou_226_66	yangzhou_226_66	112.0
yangzhou_226_67	yangzhou_226_67	376.0
yangzhou_226_68	yangzhou_226_68	302.3
yangzhou_226_69	yangzhou_226_69	221.0
yangzhou_226_70	yangzhou_226_70	99.7
yangzhou_226_71	yangzhou_226_71	138.3
yangzhou_226_7	yangzhou_226_7	344.0
yangzhou_226_72	yangzhou_226_72	111.3
yangzhou_226_73	yangzhou_226_73	231.3
yangzhou_226_74	yangzhou_226_74	285.7
yangzhou_226_75	yangzhou_226_75	121.3
yangzhou_226_76	yangzhou_226_76	167.3
yangzhou_226_77	yangzhou_226_77	237.3
yangzhou_226_78	yangzhou_226_78	306.3
yangzhou_226_79	yangzhou_226_79	91.7
yangzhou_226_80	yangzhou_226_80	402.3
yangzhou_226_81	yangzhou_226_81	264.3
yangzhou_226_8	yangzhou_226_8	604.0
yangzhou_226_82	yangzhou_226_82	171.0
yangzhou_226_83	yangzhou_226_83	477.0
yangzhou_226_84	yangzhou_226_84	119.0
yangzhou_226_85	yangzhou_226_85	213.0
yangzhou_226_86	yangzhou_226_86	50.0
yangzhou_226_87	yangzhou_226_87	384.3
yangzhou_226_88	yangzhou_226_88	336.7
yangzhou_226_89	yangzhou_226_89	80.7
yangzhou_226_90	yangzhou_226_90	142.3
yangzhou_226_91	yangzhou_226_91	388.3
yangzhou_226_9	yangzhou_226_9	221.3
yangzhou_226_92	yangzhou_226_92	125.0
yangzhou_226_93	yangzhou_226_93	151.0
yangzhou_226_94	yangzhou_226_94	162.7
yangzhou_226_95	yangzhou_226_95	214.0
yangzhou_226_96	yangzhou_226_96	306.3
yangzhou_226_97	yangzhou_226_97	120.7
yangzhou_226_98	yangzhou_226_98	276.7
yangzhou_226_99	yangzhou_226_99	194.7
YCX333	YCX333	148.0
YCX334	YCX334	389.0
YCX335	YCX335	412.7
YCX336	YCX336	0.0
YCX337	YCX337	115.3
YCX338	YCX338	97.0
YCX339	YCX339	256.7
YCX340	YCX340	316.0
YCX341	YCX341	44.7
YCX342	YCX342	82.0
YCX343	YCX343	328.7
YCX344	YCX344	NA
YCX345	YCX345	875.3
YCX346	YCX346	931.7
YCX347	YCX347	0.0
YCX348	YCX348	16.6
YCX349	YCX349	44.5
YCX350	YCX350	137.0
YCX351	YCX351	36.3
YCX352	YCX352	389.7
YCX353	YCX353	612.3
YCX354	YCX354	177.3
YCX355	YCX355	286.7
YCX356	YCX356	243.3
YCX357	YCX357	309.3
YCX358	YCX358	142.7
YCX359	YCX359	458.7
YCX360	YCX360	241.3
YCX361	YCX361	144.7
YCX362	YCX362	228.0
YCX363	YCX363	125.3
YCX364	YCX364	54.3
YCX365	YCX365	220.0
YCX366	YCX366	195.0
YCX367	YCX367	573.0
YCX368	YCX368	176.3
YCX369	YCX369	186.7
YCX370	YCX370	450.0
YCX371	YCX371	306.7
YCX372	YCX372	137.7
YCX373	YCX373	202.7
YCX374	YCX374	344.7
YCX375	YCX375	369.0
YCX376	YCX376	257.0
YCX377	YCX377	215.7
YCX378	YCX378	254.3
YCX379	YCX379	34.5
YCX380	YCX380	237.0
YCX381	YCX381	132.3
YCX382	YCX382	272.0
YCX383	YCX383	331.3
YCX384	YCX384	14.7
YCX385	YCX385	123.0
YCX386	YCX386	98.7
YCX387	YCX387	155.3
YCX388	YCX388	169.0
YCX389	YCX389	139.3
YCX390	YCX390	13.9
YCX391	YCX391	95.3
YCX392	YCX392	73.0
YCX393	YCX393	163.0
YD12	YD12	191.0
