FID	IID	SPAD_BeiJ16
yangzhou_226_80	yangzhou_226_80	41.4
yangzhou_226_81	yangzhou_226_81	37.7
yangzhou_226_8	yangzhou_226_8	44.3
yangzhou_226_82	yangzhou_226_82	38.6
yangzhou_226_83	yangzhou_226_83	36.8
yangzhou_226_84	yangzhou_226_84	34.8
yangzhou_226_85	yangzhou_226_85	33.8
yangzhou_226_86	yangzhou_226_86	33.8
yangzhou_226_87	yangzhou_226_87	38.3
yangzhou_226_88	yangzhou_226_88	35.1
yangzhou_226_89	yangzhou_226_89	39.4
yangzhou_226_90	yangzhou_226_90	36.2
yangzhou_226_91	yangzhou_226_91	32.8
yangzhou_226_9	yangzhou_226_9	NA
yangzhou_226_92	yangzhou_226_92	36.6
yangzhou_226_93	yangzhou_226_93	37.5
yangzhou_226_94	yangzhou_226_94	33.4
yangzhou_226_95	yangzhou_226_95	37.4
yangzhou_226_96	yangzhou_226_96	35.5
yangzhou_226_97	yangzhou_226_97	35.6
yangzhou_226_98	yangzhou_226_98	36.1
yangzhou_226_99	yangzhou_226_99	33.9
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	44.0
YCX337	YCX337	35.6
YCX338	YCX338	37.3
YCX339	YCX339	38.0
YCX340	YCX340	NA
YCX341	YCX341	36.4
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	40.0
YCX346	YCX346	41.2
YCX347	YCX347	39.4
YCX348	YCX348	38.9
YCX349	YCX349	36.8
YCX350	YCX350	47.3
YCX351	YCX351	43.3
YCX352	YCX352	NA
YCX353	YCX353	40.5
YCX354	YCX354	NA
YCX355	YCX355	39.3
YCX356	YCX356	39.5
YCX357	YCX357	35.8
YCX358	YCX358	35.4
YCX359	YCX359	37.5
YCX360	YCX360	39.2
YCX361	YCX361	36.3
YCX362	YCX362	NA
YCX363	YCX363	43.7
YCX364	YCX364	42.7
YCX365	YCX365	36.4
YCX366	YCX366	44.0
YCX367	YCX367	35.1
YCX368	YCX368	39.9
YCX369	YCX369	44.8
YCX370	YCX370	38.1
YCX371	YCX371	40.4
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	42.9
YCX376	YCX376	36.2
YCX377	YCX377	39.6
YCX378	YCX378	36.4
YCX379	YCX379	42.7
YCX380	YCX380	37.2
YCX381	YCX381	NA
YCX382	YCX382	36.6
YCX383	YCX383	37.6
YCX384	YCX384	42.5
YCX385	YCX385	43.4
YCX386	YCX386	39.9
YCX387	YCX387	NA
YCX388	YCX388	35.9
YCX389	YCX389	34.0
YCX390	YCX390	47.3
YCX391	YCX391	42.1
YCX392	YCX392	36.3
YCX393	YCX393	NA
YD12	YD12	NA
